Rank,Player,Team,Position,"Pool Geek Value","Games Played",W,SV%,GAA,G,A,+/-,PIM,SOG,PPP,HITS,BKS,FOW
254,"Tomas Fleischmann",FLA,LW,30,15,,,,3,4,-5,2,39,1,8,5,3
255,"Lauri Korpikoski",PHX,LW,30,12,,,,2,0,-3,6,23,0,34,10,1
256,"Tomas Kopecky",FLA,RW,30,15,,,,4,5,-4,0,26,1,4,13,6
257,"Keaton Ellerby",LAK,D,29,15,,,,0,2,2,8,6,0,32,20,0
258,"Guillaume Latendresse",OTT,LW,29,9,,,,5,2,2,4,23,0,14,2,0
259,"Antoine Vermette",PHX,C,29,14,,,,3,2,-5,12,28,1,8,7,135
260,"Craig Adams",PIT,RW,29,14,,,,1,2,1,7,15,0,26,13,3
261,"Nick Schultz",EDM,D,29,13,,,,0,4,0,12,8,0,10,26,0
262,"Brian Boyle",NYR,C,28,13,,,,1,0,-1,6,20,0,46,12,83
263,"Tim Gleason",CAR,D,28,13,,,,0,4,0,0,12,0,34,21,0
264,"Cam Atkinson",CBJ,RW,28,13,,,,3,3,2,2,33,0,11,5,0
265,"Ray Whitney",DAL,LW,28,8,,,,3,4,3,0,21,2,2,7,2
266,"Nate Thompson",TBL,C,28,13,,,,3,3,3,0,20,0,23,11,103
267,"Justin Falk",MIN,D,28,12,,,,0,1,-2,22,10,0,22,14,0
268,"James van Riemsdyk",TOR,LW,28,13,,,,2,5,-1,0,26,1,15,5,4
269,"Charlie Coyle",MIN,RW,28,12,,,,2,3,7,2,20,0,18,5,3
270,"Ryan Whitney",EDM,D,27,12,,,,2,4,-2,10,10,3,4,12,0
271,"Eric Brewer",TBL,D,27,13,,,,0,2,1,6,12,0,24,24,0
272,"Nick Leddy",CHI,D,27,11,,,,3,3,4,6,12,2,10,6,0
273,"Rob Klinkhammer",PHX,LW,27,9,,,,4,2,3,2,15,0,25,3,0
274,"Shane O'Brien",COL,D,27,12,,,,0,1,-5,20,15,0,20,18,0
275,"Alex Tanguay",CGY,LW,27,13,,,,3,5,-4,2,14,2,9,11,1
276,"Travis Zajac",NJD,C,26,13,,,,1,6,-5,6,16,3,15,2,141
277,"Jonathan Huberdeau",FLA,C,26,15,,,,5,5,-8,2,37,3,9,8,1
278,"Christopher Tanev",VAN,D,26,15,,,,1,2,4,0,10,0,6,37,0
279,"Zac Rinaldo",PHI,C,25,11,,,,1,1,-2,28,3,0,43,5,0
280,"Teemu Selanne",ANA,RW,25,14,,,,2,1,-7,20,34,0,3,3,28
281,"Erik Johnson",COL,D,25,11,,,,0,3,-3,6,24,0,20,19,0
282,"Cody Eakin",DAL,C,24,11,,,,2,3,-1,11,18,1,22,5,73
283,"Robyn Regehr",BUF,D,24,13,,,,0,1,0,11,6,0,21,26,0
284,"Jan Hejda",COL,D,24,13,,,,0,3,-7,7,13,0,26,27,0
285,"Ron Hainsey",WPG,D,24,14,,,,0,3,-4,4,14,0,17,32,0
286,"Patrik Berglund",STL,C,24,13,,,,5,3,-2,4,13,1,15,11,86
287,"Brendan Smith",DET,D,24,13,,,,0,2,-2,20,15,1,8,12,0
288,"Peter Mueller",FLA,C,24,15,,,,1,5,-8,4,67,1,9,4,12
289,"Sami Salo",TBL,D,24,12,,,,1,5,-1,8,10,1,11,15,0
290,"Jamie Benn",DAL,C,23,9,,,,0,8,0,4,16,0,24,10,69
291,"Tommy Wingels",SJS,C,23,11,,,,2,3,-2,11,20,1,28,10,1
292,"Ales Hemsky",EDM,RW,23,12,,,,1,5,1,6,31,1,1,3,0
293,"Brandon Sutter",PIT,C,23,14,,,,5,1,1,0,25,1,5,11,120
294,"Shawn Horcoff",EDM,C,23,9,,,,5,1,3,10,16,1,5,6,87
295,"Anton Stralman",NYR,D,23,14,,,,0,1,2,12,10,0,25,15,0
296,"Dany Heatley",MIN,RW,23,12,,,,2,5,-8,0,28,4,7,4,2
297,"Dalton Prout",CBJ,D,23,13,,,,0,1,3,9,6,0,25,20,0
298,"Trevor Daley",DAL,D,23,11,,,,3,1,5,0,22,1,10,12,0
299,"Kevin Klein",NSH,D,23,13,,,,1,2,2,7,10,0,16,21,0
300,"Casey Cizikas",NYI,C,22,13,,,,3,3,1,4,14,0,38,6,44
301,"Patrick Dwyer",CAR,RW,22,13,,,,2,2,7,2,21,0,14,6,1
302,"Jonas Brodin",MIN,D,22,12,,,,2,2,3,4,14,1,4,20,0
303,"Joe Corvo",CAR,D,22,10,,,,2,4,-1,2,20,3,8,6,0
304,"Toni Lydman",ANA,D,21,11,,,,0,2,3,4,11,0,25,19,0
305,"Kari Lehtonen",DAL,G,21,11,5,0.923,2.47,,,,,,,,,
306,"Carey Price",MTL,G,21,11,5,0.9175,2.135,,,,,,,,,
307,"Pekka Rinne",NSH,G,21,13,5,0.9135,2.245,,,,,,,,,
308,"Jake Allen",STL,G,21,7,5,0.9005,2.535,,,,,,,,,
309,"James Reimer",TOR,G,21,10,5,0.919,2.565,,,,,,,,,
310,"John Mitchell",COL,C,21,14,,,,3,3,-1,6,20,0,31,9,23
311,"Ryan Nugent-Hopkins",EDM,C,21,11,,,,1,8,-3,0,21,4,6,8,46
312,"Colin Fraser",LAK,C,21,15,,,,1,4,-1,9,9,0,42,7,41
313,"Brad Richards",NYR,C,21,12,,,,3,2,-1,2,31,2,6,8,92
314,"Brian Campbell",FLA,D,21,15,,,,1,6,-10,0,20,4,2,19,0
315,"Justin Faulk",CAR,D,21,10,,,,1,2,0,11,21,0,12,12,0
